"","","Mortality rate among children ages 10 to 14 years (per 1000 children aged 10)","Number of deaths among children ages 10 to 14 years","Number of deaths among children ages 10 to 14 years","Number of deaths among children ages 10 to 14 years"
"WHO region","Year"," Both sexes"," Both sexes"," Male"," Female"
"Eastern Mediterranean"," 2020","2.81 [1.96-4.66]","42 396 [28 596-70 742]","24 331 [16 733-39 984]","18 065 [11 780-30 842]"
"Eastern Mediterranean"," 2019","2.88 [2.03-4.64]","42 666 [29 051-69 028]","24 380 [16 875-38 885]","18 286 [11 982-30 491]"
"Eastern Mediterranean"," 2018","2.96 [2.1-4.66]","42 809 [29 580-67 540]","24 401 [17 138-38 106]","18 408 [12 320-29 956]"
"Eastern Mediterranean"," 2017","3.02 [2.18-4.61]","42 840 [30 052-65 864]","24 364 [17 375-37 093]","18 476 [12 496-29 204]"
"Eastern Mediterranean"," 2016","3.16 [2.35-4.64]","44 536 [32 225-65 655]","25 282 [18 598-36 970]","19 254 [13 474-29 114]"
"Eastern Mediterranean"," 2015","3.25 [2.47-4.6]","45 197 [33 645-64 121]","25 603 [19 308-36 015]","19 594 [14 113-28 466]"
"Eastern Mediterranean"," 2014","3.35 [2.61-4.55]","45 888 [35 103-63 022]","25 915 [20 161-35 173]","19 973 [14 913-27 935]"
"Eastern Mediterranean"," 2013","3.43 [2.73-4.51]","46 214 [36 098-61 435]","26 003 [20 634-34 186]","20 211 [15 384-27 325]"
"Eastern Mediterranean"," 2012","3.46 [2.81-4.45]","45 953 [36 691-59 614]","25 777 [20 826-33 117]","20 176 [15 742-26 696]"
"Eastern Mediterranean"," 2011","3.48 [2.86-4.39]","45 614 [37 021-58 030]","25 408 [20 805-32 087]","20 206 [16 054-26 076]"
"Eastern Mediterranean"," 2010","3.52 [2.92-4.34]","45 627 [37 667-56 533]","25 343 [21 029-31 188]","20 284 [16 456-25 511]"
"Eastern Mediterranean"," 2009","3.51 [2.95-4.25]","45 143 [37 675-54 676]","24 994 [20 972-30 112]","20 149 [16 544-24 805]"
"Eastern Mediterranean"," 2008","3.57 [3.01-4.25]","45 516 [38 386-54 009]","25 156 [21 304-29 669]","20 360 [16 876-24 496]"
"Eastern Mediterranean"," 2007","3.55 [3.03-4.13]","45 049 [38 344-52 241]","24 803 [21 188-28 711]","20 246 [16 996-23 834]"
"Eastern Mediterranean"," 2006","3.55 [3.04-4.08]","44 946 [38 467-51 648]","24 755 [21 254-28 402]","20 191 [17 049-23 490]"
"Eastern Mediterranean"," 2005","4.18 [3.54-4.8]","53 145 [44 742-61 357]","28 364 [24 052-32 669]","24 781 [20 499-29 057]"
"Eastern Mediterranean"," 2004","3.59 [3.06-4.1]","44 762 [38 286-51 172]","24 658 [21 206-28 141]","20 104 [16 953-23 254]"
"Eastern Mediterranean"," 2003","3.86 [3.32-4.35]","47 646 [41 237-53 966]","25 896 [22 436-29 284]","21 750 [18 619-24 876]"
"Eastern Mediterranean"," 2002","3.7 [3.18-4.18]","45 176 [39 171-51 218]","24 783 [21 575-28 008]","20 393 [17 457-23 336]"
"Eastern Mediterranean"," 2001","3.77 [3.28-4.26]","45 734 [40 039-51 565]","25 014 [21 954-28 147]","20 720 [17 948-23 538]"
"Eastern Mediterranean"," 2000","3.86 [3.38-4.36]","46 366 [40 905-52 267]","25 380 [22 446-28 591]","20 986 [18 351-23 863]"
